103;Косово;Kosovo
104;Коста Рика;Costa Rica
105;Кот д'Ивоар;Cоte d'Ivoire
106;Куба;Cuba
107;Кувейт;Kuwait
108;Курасао;Curacao
109;Лаос;Lao People's Democratic Republic
110;Латвия;Latvia
111;Лесото;Lesotho
112;Либерия;Liberia
113;Либия;Libya
114;Ливан;Lebanon
115;Литва;Lithuania
116;Лихтенщайн;Liechtenstein
117;Люксембург;Luxembourg
118;Мавритания;Mauritania
119;Мавриций;Mauritius
120;Мадагаскар;Madagascar
121;Майот;Mayotte
122;Макао;Macao
123;Малави;Malawi
124;Малайзия;Malaysia
125;Малдиви;Maldives
126;Мали;Mali
127;Малки далечни острови на САЩ;United States Minor Outlying Islands
128;Малта;Malta
129;Ман;Isle of Man
130;Мароко;Morocco
131;Мартиника;Martinique
132;Маршалови острови;Marshall Islands
133;Мексико;Mexico
134;Мианмар;Myanmar
135;Микронезия;Micronesia, Federated States of
136;Мозамбик;Mozambique
137;Молдова;Moldova, Republic of
138;Монако;Monaco
139;Монголия;Mongolia
140;Монсерат;Montserrat
141;Намибия;Namibia
142;Науру;Nauru
143;Непал;Nepal
144;Нигер;Niger
145;Нигерия;Nigeria
146;Нидерландия;Netherlands
147;Никарагуа;Nicaragua
148;Ниуе;Niue
149;Нова Зеландия;New Zealand
150;Нова Каледония;New Caledonia
151;Норвегия;Norway
152;ОАЕ;United Arab Emirates
153;Оланд;Oland Islands
154;Оман;Oman
155;Остров Норфолк;Norfolk Island
156;Острови Кук;Cook Islands
157;Острови Хърд и Макдоналд;Heard Island and McDonald Islands
158;Пакистан;Pakistan
159;Палау;Palau
160;Палестина;Palestine, State of
161;Панама;Panama
162;Папуа Нова Гвинея;Papua New Guinea
163;Парагвай;Paraguay
164;Перу;Peru
165;Питкерн;Pitcairn
166;Полша;Poland
167;Португалия;Portugal
168;Пуерто Рико;Puerto Rico
169;Република Конго;Republic of the Congo
170;Република Македония;Macedonia, the former Yugoslav Republic of
171;Реюнион;Reunion
172;Руанда;Rwanda
173;Румъния;Romania
174;Русия;Russian Federation
175;РЮА;South Africa
176;Салвадор;El Salvador
177;Самоа;Samoa
178;Сан Марино;San Marino
179;Сао Томе и Принсипи;Sao Tome and Principe
180;Саудитска Арабия;Saudi Arabia
181;САЩ;United States of America
182;Свазиленд;Swaziland
183;Свалбард и Ян Майен;Svalbard and Jan Mayen
184;Света Елена, Възнесение и Тристан да Куня;Saint Helena, Ascension and Tristan da Cunha
185;Северна Корея;Korea, Democratic People's Republic of
186;Северни Мариански острови;Northern Mariana Islands
187;Сейнт Винсънт и Гренадини;Saint Vincent and the Grenadines
188;Сейнт Китс и Невис;Saint Kitts and Nevis
189;Сейнт Лусия;Saint Lucia
190;Сейшелски острови;Seychelles
191;Сен Бартелми;Saint Barthelemy
192;Сен Мартен;Saint Martin (French part)
193;Сен Пиер и Микелон;Saint Pierre and Miquelon
194;Сенегал;Senegal
195;Сент Мартен (Датска част);Sint Maarten (Dutch part)
196;Сиера Леоне;Sierra Leone
197;Сингапур;Singapore
198;Сирия;Syrian Arab Republic
199;Словакия;Slovakia
200;Словения;Slovenia
201;Соломонови острови;Solomon Islands
202;Сомалия;Somalia
203;Судан;Sudan
204;Суринам;Suriname
205;Сърбия;Serbia
206;Сърбия и Черна гора;Serbia and Montenegro
207;Таджикистан;Tajikistan
208;Тайван;Taiwan, Province of China
209;Тайланд;Thailand
210;Танзания;Tanzania, United Republic of
211;Того;Togo
212;Токелау;Tokelau
213;Тонга;Tonga
214;Тринидад и Тобаго;Trinidad and Tobago
215;Тувалу;Tuvalu
216;Тунис;Tunisia
217;Туркменистан;Turkmenistan
218;Турция;Turkey
219;Търкс и Кайкос;Turks and Caicos Islands
220;Уганда;Uganda
221;Узбекистан;Uzbekistan
222;Украйна;Ukraine
223;Унгария;Hungary
224;Уолис и Футуна;Wallis and Futuna
225;Уругвай;Uruguay
226;Фарьорски острови;Faroe Islands
227;Фиджи;Fiji
228;Филипини;Philippines
229;Финландия;Finland
230;Фолклендски острови;Falkland Islands (Malvinas)
231;Франция;France
232;Френска Гвиана;French Guiana
233;Френска Полинезия;French Polynesia
234;Френски южни и антарктически територии;French Southern Territories
235;Хаити;Haiti
236;Холандкси Антили;Netherlands Antilles
237;Хондурас;Honduras
238;Хонконг;Hong Kong
239;Хърватия;Croatia
240;Централноафриканска република;Central African Republic
241;Чад;Chad
242;Черна гора;Montenegro
243;Чехия;Czech Republic
244;Чили;Chile
245;Швейцария;Switzerland
246;Швеция;Sweden
247;Шри Ланка;Sri Lanka
248;Южен Судан;South Sudan
249;Южна Джорджия и Южни Сандвичеви острови;South Georgia and the South Sandwich Islands
250;Южна Корея;Korea, Republic of
251;Ямайка;Jamaica
252;Япония;Japan
